	rab.all	rab.win.S	rab.win.W	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
YIL021W	2.15371760460088	2.01448695255102	2.25623323635994	0.245356904920599	0.215361369714402	0.827020995234986	0.268307305172865	0.125110872896739	0.332753007586282	0.192866161616162	0.434410875320355
YIL022W	2.43279926115308	2.29389228744708	2.57814082372884	0.231094636829043	0.450902994535599	0.441016364716638	0.317083637245523	0.813411425092308	0.915273986281154	0.370107323232323	0.650208169052143
YIL023C	1.17444497577637	1.35161078541911	1.11501071242921	-0.255485569710291	0.658999952579586	-0.337095698178944	0.341472149901524	0.365204705322969	0.625351575043092	0.578440656565657	0.823169934285663
YIL024C	-0.809328200000365	-0.288863581661236	-1.49605194170495	-1.35818239248206	0.521441151938979	-2.14500268415239	0.00175147641157519	0.000765566271459314	0.0129087238019879	0.00268308080808081	0.0297330080437106
YIL026C	0.245610831551562	0.468625783528928	0.0484277872197696	-0.559487592382157	0.658607730847656	-0.912716197891265	0.0750794211284538	0.035303450459806	0.149450062829798	0.0265151515151515	0.117912030026799
YIL027C	0.31626537628571	0.327751393317501	0.2473215951381	0.167446442298448	0.585096826495962	0.274519681719479	0.439027457996833	0.521785489574128	0.741163295689382	0.799400252525253	0.916904244678053
YIL029C	-1.87731623087368	-1.97862605460999	-1.85851790476994	0.102523025296282	0.681779861817903	0.132033472165997	0.425003995233639	0.712919353611614	0.849859784213398	0.756628787878788	0.883578126022638
YIL030C	1.86250096457652	1.92398417559345	1.75066715914849	-0.0272868621304845	0.324102380305352	-0.0800349624068488	0.439027457996833	0.826543765192361	0.916216738970126	0.604324494949495	0.814989116734854
YIL031W	1.08717600089381	0.961171968893844	1.29179557902234	-0.206971495455308	0.964013429376131	-0.205710540541662	0.41463850431674	0.78670461655138	0.903202654356027	0.80050505050505	0.924894474520733
YIL033C	2.67423421895991	2.78873585322437	2.44141504040183	-0.269002846768577	0.357804195157134	-0.861903696996517	0.268307305172865	0.0665254305856635	0.230962739030792	0.139520202020202	0.365848156696916
YIL034C	2.05868905264385	2.02363497674747	2.11565791497737	0.031588456292833	0.772591165533762	0.0212203360558509	0.487805482839447	0.917283968139453	0.963980382350174	0.907986111111111	0.9655798715757
YIL035C	1.44483309443091	1.41038123310842	1.90211452169424	0.29676556987597	0.71023344960159	0.503654325292662	0.341472149901524	0.0989312143201264	0.294548474888663	0.159722222222222	0.394952764618994
YIL036W	2.0235499263723	1.98908614184534	2.20942893776416	0.0714018494135908	0.612286394763023	0.0679019396403407	0.463416457194513	0.887016332887442	0.951016535425936	1	1
YIL037C	-1.91561767979333	-2.03030810967253	-1.81447131810082	0.243525109034628	0.364518208354603	0.515168404354903	0.268307305172865	0.225892341176745	0.429140482111823	0.281092171717172	0.487658686998359
YIL038C	1.19955861706543	1.17317672005216	1.6819438140239	0.151026472022532	0.956838718410219	0.286909235330445	0.41463850431674	0.770283680535731	0.89460812130577	0.677714646464647	0.870973659972049
YIL039W	1.64583352211123	1.75425214383237	1.52039027169722	-0.214259205046796	0.200022969216981	-0.967833164964019	0.121994904251815	0.0341460823935089	0.143440974525429	0.0372474747474748	0.147953392179598
YIL040W	0.751907179283585	0.862371518309823	0.680847535962763	-0.180355048142246	0.289025143183235	-0.531430851432022	0.250017353084383	0.521958914701173	0.741740956257421	0.265151515151515	0.493549038837709
YIL041W	2.56080291726703	2.67016552186351	2.22706295748934	-0.288190791274414	0.529287999788874	-0.570868582447299	0.24391964199069	0.111091501644453	0.31981131251008	0.130839646464646	0.35232216207586
YIL042C	1.39858214704833	1.81008804608776	0.914252613029705	-0.804083039721946	0.531273690780081	-1.33820765577887	0.0732483959549606	0.00356200415405931	0.0357496145745257	0.0104166666666667	0.0674707902143636
YIL043C	3.60271323921481	3.70540180838385	3.46617202113726	-0.179819878118667	0.295195442509358	-0.572755019484183	0.24391964199069	0.160282495885308	0.397374777877013	0.149621212121212	0.379936026151486
YIL044C	0.441164578025171	0.439785951770751	0.450469511329	0.0404850221521	0.322137179278778	0.064768465672476	0.463416457194513	0.4417560473417	0.680367435956875	0.770675505050505	0.902785852931651
YIL045W	0.23470843301337	0.0708438755152621	0.361828717139777	0.134088287300655	0.878226433221011	0.192716264320875	0.425003995233639	0.655269761197908	0.831797786452824	0.579703282828283	0.80531590534912
YIL046W	1.26326916883603	1.83110107270413	0.632860733134474	-1.23988144128484	0.605661281938743	-2.00976660269319	0.00175147641157519	0.000289163506168888	0.00819273393698386	0.00252525252525253	0.0288760999853479
YIL046W-A	-5.58807770615446	-5.05683140471055	-6.30398020351371	-1.16962651558106	1.46659411555109	-0.663255370393888	0.2750146885301	0.215363385500459	0.404832558323903	0.224905303030303	0.395302225494971
YIL047C	1.2975063417354	1.09968959106089	1.42879056995373	0.417271455812465	0.529767264102627	0.719592313251958	0.219532473904943	0.0772985826593178	0.253974477642289	0.110006313131313	0.305347259904822
YIL048W	0.875180494981518	1.11035095610578	0.802127597948275	-0.253006119019982	0.282509212459362	-0.687594893978688	0.2750146885301	0.226342878643104	0.454955986567359	0.216224747474747	0.444255286230128
YIL049W	-0.159169296936153	-0.568595328728875	0.501384821710074	0.590140292443882	0.946467534468805	0.552198729397824	0.250017353084383	0.165279214007639	0.40094309262819	0.191287878787879	0.439325001935247
YIL050W	0.917420573843329	1.03660908113823	0.791321816486914	-0.250888972425205	0.498276321164636	-0.550464361324799	0.195145994153606	0.177774165770035	0.411192545363219	0.160353535353535	0.389152394519571
